datetime,wind_speed,wind_dir,stability
2024-01-09 16:00:00,1.59243,242.773,A
2024-01-09 16:30:00,1.58084,244.419,F
2024-01-09 17:00:00,1.69199,218.305,F
2024-01-09 17:30:00,1.39517,217.937,F
2024-01-09 18:00:00,0.984051,211.193,A
2024-01-09 18:30:00,0.102187,82.1466,A
2024-01-09 19:00:00,0.15068,128.666,F
2024-01-09 19:30:00,0.340824,82.011,A
2024-01-09 20:00:00,0.41301,77.5435,A
2024-01-09 20:30:00,0.693456,61.9916,A
2024-01-09 21:00:00,0.257485,73.5083,A
2024-01-09 21:30:00,0.448059,59.8301,A
2024-01-09 22:00:00,0.61222,67.442,A
2024-01-09 22:30:00,0.0531489,179.481,A
2024-01-09 23:00:00,0.317617,53.7374,A
2024-01-09 23:30:00,0.143658,31.2213,A
2024-01-10 00:00:00,0.0881552,209.024,A
2024-01-10 00:30:00,0.281171,179.194,A
2024-01-10 01:00:00,0.632984,241.372,A
2024-01-10 01:30:00,0.269448,80.1455,A
2024-01-10 02:00:00,0.134904,156.218,A
2024-01-10 02:30:00,0.321595,211.721,B
2024-01-10 03:00:00,0.151699,297.008,A
2024-01-10 03:30:00,0.366608,149.144,A
2024-01-10 04:00:00,0.166953,200.779,A
2024-01-10 04:30:00,0.230266,161.32,A
2024-01-10 05:00:00,0.51855,10.9828,A
2024-01-10 05:30:00,0.286736,209.862,A
2024-01-10 06:00:00,0.314698,169.748,F
2024-01-10 06:30:00,0.427047,62.342,A
2024-01-10 07:00:00,0.516028,78.7183,F
2024-01-10 07:30:00,1.17877,84.0914,A
2024-01-10 08:00:00,1.15512,70.7259,F
2024-01-10 08:30:00,1.57185,72.0614,F
2024-01-10 09:00:00,1.40585,72.5318,F
2024-01-10 09:30:00,0.234626,14.985,F
2024-01-10 10:00:00,0.246921,71.9098,A
2024-01-10 10:30:00,1.38458,61.7148,F
2024-01-10 11:00:00,0.181609,119.252,B
2024-01-10 11:30:00,0.294086,47.2205,F
2024-01-10 12:00:00,0.57397,55.4713,A
2024-01-10 12:30:00,0.694252,64.597,A
2024-01-10 13:00:00,0.35172,61.4236,A
2024-01-10 13:30:00,0.119712,168.352,A
2024-01-10 14:00:00,0.143102,96.4193,F
2024-01-10 14:30:00,0.543493,72.4833,A
2024-01-10 15:00:00,0.686741,62.7899,F
2024-01-10 15:30:00,0.64169,39.9236,A
2024-01-10 16:00:00,0.255024,61.4423,A
2024-01-10 16:30:00,0.240034,92.8654,A
2024-01-10 17:00:00,0.0859166,89.9612,A
2024-01-10 17:30:00,0.170976,81.1754,A
2024-01-10 18:00:00,0.115067,167.543,F
2024-01-10 18:30:00,0.161795,84.2967,A
2024-01-10 19:00:00,0.0552412,158.167,A
2024-01-10 19:30:00,0.478215,61.2964,A
2024-01-10 20:00:00,0.208501,238.318,F
2024-01-10 20:30:00,0.335322,56.927,F
2024-01-10 21:00:00,0.449874,56.4799,A
2024-01-10 21:30:00,0.285751,42.0307,A
2024-01-10 22:00:00,0.345259,88.201,A
2024-01-10 22:30:00,0.094667,73.3321,A
2024-01-10 23:00:00,0.192185,89.4545,A
2024-01-10 23:30:00,0.135104,85.8426,A
2024-01-11 00:00:00,0.0931052,141.079,A
2024-01-11 00:30:00,0.400736,49.7454,A
2024-01-11 01:00:00,0.712242,56.3311,A
2024-01-11 01:30:00,0.346859,51.7131,A
2024-01-11 02:00:00,0.144727,47.695,A
2024-01-11 02:30:00,0.263232,48.566,A
2024-01-11 03:00:00,0.149758,63.9362,F
2024-01-11 03:30:00,0.146612,57.772,B
2024-01-11 04:00:00,0.238021,67.6488,F
2024-01-11 04:30:00,0.651777,53.5948,A
2024-01-11 05:00:00,0.384856,51.9197,A
2024-01-11 05:30:00,0.49348,67.0853,F
2024-01-11 06:00:00,0.38693,56.6124,A
2024-01-11 06:30:00,0.179959,87.2488,F
2024-01-11 07:00:00,0.112259,96.1382,F
2024-01-11 07:30:00,0.187829,60.0894,F
2024-01-11 08:00:00,0.123055,77.5391,F
2024-01-11 08:30:00,0.456183,65.4035,A
2024-01-11 09:00:00,0.202915,76.334,F
2024-01-11 09:30:00,0.204911,69.1173,F
2024-01-11 10:00:00,0.160285,219.798,B
2024-01-11 10:30:00,0.456613,74.6227,F
2024-01-11 11:00:00,0.153205,82.415,A
2024-01-11 11:30:00,0.594642,59.2591,B
2024-01-11 12:00:00,0.41516,67.5168,F
2024-01-11 12:30:00,0.0838955,97.7027,F
2024-01-11 13:00:00,0.267541,86.1136,A
2024-01-11 13:30:00,0.301042,122.325,A
2024-01-11 14:00:00,0.588731,86.638,A
2024-01-11 14:30:00,0.428173,80.1122,F
2024-01-11 15:00:00,0.682884,81.4676,F
2024-01-11 15:30:00,0.193801,106.312,A
2024-01-11 16:00:00,0.108095,187.63,F
2024-01-11 16:30:00,0.343754,59.009,F
2024-01-11 17:00:00,0.899455,56.7005,F
2024-01-11 17:30:00,0.622307,53.393,A
2024-01-11 18:00:00,0.091066,54.2757,A
2024-01-11 18:30:00,0.544117,66.0172,A
2024-01-11 19:00:00,0.484426,69.6866,A
2024-01-11 19:30:00,0.217474,86.1561,A
2024-01-11 20:00:00,0.498164,74.5948,A
2024-01-11 20:30:00,0.363089,76.5273,A
2024-01-11 21:00:00,0.293222,64.127,A
2024-01-11 21:30:00,0.510499,57.5678,A
2024-01-11 22:00:00,0.0572452,133.475,A
